CPU load:	0.0MEM used:	7225069568Virt mem used:	7305048064IO:	sdiskio(read_count=4587643, write_count=17663589, read_bytes=80911540224, write_bytes=316529662976, read_time=33753634, write_time=413591020, read_merged_count=980010, write_merged_count=5724274, busy_time=43081767)Network:	snetio(bytes_sent=3148375022, bytes_recv=16996120173, packets_sent=10575601, packets_recv=35167342, errin=0, errout=0, dropin=0, dropout=0)
CPU load:	0.0	MEM used:	7247089664	Virt mem used:	7325917184	IO:	sdiskio(read_count=4587655, write_count=17664727, read_bytes=80911613952, write_bytes=316554935296, read_time=33753672, write_time=413600403, read_merged_count=980010, write_merged_count=5724543, busy_time=43084939)	Network:	snetio(bytes_sent=3148455079, bytes_recv=16996259579, packets_sent=10575834, packets_recv=35168417, errin=0, errout=0, dropin=0, dropout=0)
CPU load(%):	0.0	MEM used:	7263186944	Virt mem used:	1379274752	IO:	sdiskio(read_count=4587662, write_count=17666673, read_bytes=80911654912, write_bytes=316609231872, read_time=33753749, write_time=413616182, read_merged_count=980013, write_merged_count=5725101, busy_time=43089793)	Network:	snetio(bytes_sent=3148581493, bytes_recv=16996521361, packets_sent=10576345, packets_recv=35170242, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 4:2017-07-19 12:11:12CPU load(%):	0.0	MEM used:	7442632704	Virt mem used:	1379266560	IO:	sdiskio(read_count=4587670, write_count=17674983, read_bytes=80911761408, write_bytes=316718431232, read_time=33753891, write_time=413684459, read_merged_count=980013, write_merged_count=5727488, busy_time=43109926)	Network:	snetio(bytes_sent=3149292777, bytes_recv=16999508931, packets_sent=10580114, packets_recv=35181628, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 5: 1970-01-01 00:00:03	CPU load(%):	0.0	MEM used:	7339024384	Virt mem used:	1379266560	IO:	sdiskio(read_count=4587670, write_count=17676051, read_bytes=80911761408, write_bytes=316738321408, read_time=33753891, write_time=413688107, read_merged_count=980013, write_merged_count=5727761, busy_time=43112204)	Network:	snetio(bytes_sent=3149365260, bytes_recv=16999667610, packets_sent=10580437, packets_recv=35183060, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 6: 2017-07-19 15:15:37	CPU load(%):	0.0	MEM used:	7390035968	Virt mem used:	1379266560	IO:	sdiskio(read_count=4587682, write_count=17678205, read_bytes=80911884288, write_bytes=316767788032, read_time=33753939, write_time=413698151, read_merged_count=980013, write_merged_count=5728349, busy_time=43117056)	Network:	snetio(bytes_sent=3149526324, bytes_recv=17000274850, packets_sent=10581124, packets_recv=35185734, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 7: 2017-07-19 15:17:29	CPU load(%):	0.0	MEM used:	7401467904	Virt mem used:	1379266560	IO:	sdiskio(read_count=4587682, write_count=17679385, read_bytes=80911884288, write_bytes=316791389184, read_time=33753939, write_time=413702549, read_merged_count=980013, write_merged_count=5728657, busy_time=43119703)	Network:	snetio(bytes_sent=3149643125, bytes_recv=17000521670, packets_sent=10581579, packets_recv=35187541, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 8: 2017-07-19 15:18:14	CPU load(%): 0.0	MEM used: 7412199424	Virt mem used: 1379266560	IO: sdiskio(read_count=4587682, write_count=17679961, read_bytes=80911884288, write_bytes=316796443648, read_time=33753939, write_time=413704612, read_merged_count=980013, write_merged_count=5728824, busy_time=43120924)	Network: snetio(bytes_sent=3149671662, bytes_recv=17000592360, packets_sent=10581694, packets_recv=35188186, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 9: 2017-07-19 15:18:39 	CPU load(%): 0.0	MEM used: 7408828416	Virt mem used: 1379266560	IO: sdiskio(read_count=4587682, write_count=17680356, read_bytes=80911884288, write_bytes=316810304512, read_time=33753939, write_time=413705863, read_merged_count=980013, write_merged_count=5728911, busy_time=43121514)	Network: snetio(bytes_sent=3149678533, bytes_recv=17000628579, packets_sent=10581746, packets_recv=35188565, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 10: 2017-07-19 15:25:52 	CPU load(%): 3.7	MEM used: 7456120832	Virt mem used: 1379254272	IO: sdiskio(read_count=4587686, write_count=17683960, read_bytes=80911900672, write_bytes=316860476416, read_time=33753959, write_time=413722480, read_merged_count=980013, write_merged_count=5729863, busy_time=43131003)	Network: snetio(bytes_sent=3150025546, bytes_recv=17001394307, packets_sent=10583215, packets_recv=35194361, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 11: 2017-07-19 16:10:15 	CPU load(%): 4.4	MEM used: 7306059776	Virt mem used: 1379188736	IO: sdiskio(read_count=4587838, write_count=17715631, read_bytes=80913555456, write_bytes=317291289600, read_time=33755279, write_time=413888543, read_merged_count=980013, write_merged_count=5739966, busy_time=43211366)	Network: snetio(bytes_sent=3154473273, bytes_recv=17035272760, packets_sent=10607583, packets_recv=35254534, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 12: 2017-07-19 16:35:00 	CPU load(%): 25.0	MEM used: 7337164800	Virt mem used: 1379127296	IO: sdiskio(read_count=4587957, write_count=17732723, read_bytes=80915202048, write_bytes=317492071424, read_time=33756420, write_time=413980247, read_merged_count=980024, write_merged_count=5745501, busy_time=43254579)	Network: snetio(bytes_sent=3156428838, bytes_recv=17042294708, packets_sent=10617390, packets_recv=35279790, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 34: 2017-07-22 22:27:37 	CPU load(%): 25.0	MEM used: 3927453696	Virt mem used: 929226752	IO: sdiskio(read_count=4703874, write_count=18677070, read_bytes=82086723584, write_bytes=332635433984, read_time=34206326, write_time=420409153, read_merged_count=1035844, write_merged_count=5988698, busy_time=46175072)	Network: snetio(bytes_sent=3601640767, bytes_recv=18383827047, packets_sent=11796209, packets_recv=38465373, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 35: 2017-07-22 22:27:38 	CPU load(%): 7.5	MEM used: 3927666688	Virt mem used: 929226752	IO: sdiskio(read_count=4703874, write_count=18677072, read_bytes=82086723584, write_bytes=332635442176, read_time=34206326, write_time=420409153, read_merged_count=1035844, write_merged_count=5988698, busy_time=46175072)	Network: snetio(bytes_sent=3601706745, bytes_recv=18383831213, packets_sent=11796264, packets_recv=38465430, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 36: 2017-07-22 22:27:39 	CPU load(%): 10.5	MEM used: 3927920640	Virt mem used: 929226752	IO: sdiskio(read_count=4703874, write_count=18677074, read_bytes=82086723584, write_bytes=332635450368, read_time=34206326, write_time=420409153, read_merged_count=1035844, write_merged_count=5988698, busy_time=46175072)	Network: snetio(bytes_sent=3601840906, bytes_recv=18383836637, packets_sent=11796374, packets_recv=38465507, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 37: 2017-07-22 22:27:40 	CPU load(%): 10.7	MEM used: 3927904256	Virt mem used: 929226752	IO: sdiskio(read_count=4703874, write_count=18677076, read_bytes=82086723584, write_bytes=332635458560, read_time=34206326, write_time=420409153, read_merged_count=1035844, write_merged_count=5988698, busy_time=46175072)	Network: snetio(bytes_sent=3602035106, bytes_recv=18383843971, packets_sent=11796526, packets_recv=38465614, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 38: 2017-07-22 22:27:41 	CPU load(%): 11.0	MEM used: 3928567808	Virt mem used: 929226752	IO: sdiskio(read_count=4703874, write_count=18677083, read_bytes=82086723584, write_bytes=332635491328, read_time=34206326, write_time=420409183, read_merged_count=1035844, write_merged_count=5988699, busy_time=46175102)	Network: snetio(bytes_sent=3602228684, bytes_recv=18383851961, packets_sent=11796672, packets_recv=38465730, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 39: 2017-07-22 22:27:42 	CPU load(%): 15.0	MEM used: 3928322048	Virt mem used: 929226752	IO: sdiskio(read_count=4703874, write_count=18677085, read_bytes=82086723584, write_bytes=332635499520, read_time=34206326, write_time=420409183, read_merged_count=1035844, write_merged_count=5988699, busy_time=46175102)	Network: snetio(bytes_sent=3602433309, bytes_recv=18383864153, packets_sent=11796851, packets_recv=38465893, errin=0, errout=0, dropin=0, dropout=0)
